employee,capital,months,location,sector
5,17881969.39,20,3,5
5,14953184.59,14,5,3
9,70416593.65,26,3,8
4,35754426.67,47,7,10
10,49865238.04,39,2,11
10,38890.18,22,7,6
2,17961888.46,40,5,9
4,26967927.21,36,1,8
1,32792217.46,18,5,4
7,80084861.07,30,4,2
3,45140063.11,30,1,3
6,40792080.2,28,1,10
8,49695939.41,10,1,6
4,849824.21,47,3,11
3,71526434.86,9,1,4
4,83364372.77,20,2,12
8,68124204.83,14,1,12
5,70605349.61,29,4,5
10,70101877.2,9,5,8
1,81902671.34,16,2,7
9,4658260.34,19,6,12
2,49108430.26,2,7,10
7,82847307.19,41,1,1
7,91728873.58,30,7,3
8,18907101.95,29,4,10
4,70318159.67,23,3,12
7,98533981.7,2,4,5
1,33530167.92,1,4,4
9,92806604.55,10,2,6
7,20070487.81,4,1,7
1,77498088.16,12,7,4
4,19707864.03,28,1,11
2,29856381.52,28,4,9
3,41373048.01,9,4,12
6,27439081.44,10,5,7
5,55916449.13,28,2,11
2,14839712.64,5,5,3
7,5295135.0,40,5,9
7,3791129.08,38,5,10
4,23810145.16,31,7,1
1,95301409.17,20,7,5
5,64368344.99,12,6,10
10,38373806.34,50,3,9
2,1678957.04,46,4,2
3,28490313.72,43,5,3
6,21584169.72,49,2,5
7,72352033.46,34,2,4
1,70415594.03,2,1,1
6,96295650.1,6,4,11
3,53007436.38,9,1,3
2,66973787.73,37,6,12
6,56895445.89,3,6,3
3,88192054.75,47,3,10
5,68385661.22,5,1,8
7,6749297.19,31,1,5
4,75416483.12,18,5,5
5,18121435.29,39,4,5
8,3313125.67,19,7,7
7,91521855.71,5,4,8
6,64988976.64,30,2,8
3,86652858.81,4,1,11
7,4663737.63,11,7,1
6,14728808.51,39,5,1
3,2753967.0,31,6,2
5,81957246.4,21,7,3
8,83723421.6,30,5,7
8,93524359.75,41,4,9
3,69085820.42,17,1,5
4,48770682.62,28,7,5
7,2981752.41,13,1,6
6,12656738.66,38,5,4
4,30692107.74,13,3,1
3,41375867.17,9,4,3
2,6900354.0,10,5,6
10,90674156.14,30,1,7
7,1257849.0,1,2,1
8,94359497.71,9,7,8
2,35976295.6,43,1,5
1,26578524.56,31,3,11
8,90928600.15,47,6,10
9,88362316.1,30,1,12
8,83842560.41,19,7,2
1,27521169.73,47,3,12
4,13885832.33,49,4,10
3,28657979.74,20,6,5
8,97206915.46,31,1,12
2,82417958.55,49,2,3
7,19059747.63,9,7,7
6,37919357.79,23,1,1
10,66887884.73,19,6,1
6,81133013.77,14,2,3
4,57143271.78,35,2,1
6,13206026.27,42,6,5
5,43424803.36,37,1,6
1,73107438.93,36,1,7
4,35172508.6,45,4,7
8,42053650.24,2,7,5
7,43919408.35,5,6,5
4,41624090.18,5,6,8
9,55078155.45,43,7,11
8,54264407.5,16,4,8
4,45633077.79,44,6,3
5,17280893.27,49,5,12
3,11074082.18,21,3,1
5,76575595.05,45,1,8
5,21653717.51,29,2,8
10,82705493.48,29,4,4
10,95556910.62,46,1,3
6,13730744.99,41,3,6
2,15694482.01,48,1,6
6,48296946.74,44,7,1
5,87260701.26,16,6,8
2,1796494.82,18,1,12
4,86128585.15,26,3,2
7,66079560.42,48,6,5
5,49362753.31,43,7,9
7,60213122.14,43,4,8
2,24496563.64,39,7,5
5,37799208.94,5,4,8
7,53469857.51,5,3,1
8,25582590.77,16,5,5
1,49814025.43,24,6,12
5,29670905.91,17,1,5
5,95963284.59,48,7,5
4,74051521.67,29,3,4
4,40517713.61,8,7,8
4,6760793.0,35,2,12
10,68912064.81,39,4,3
6,70215436.07,35,1,6
7,41062699.1,10,5,3
2,32342170.69,50,3,5
5,65399355.17,6,1,4
5,25465738.4,24,4,10
9,5102988.0,38,4,6
2,86634768.45,49,7,4
6,71442841.57,3,4,2
4,66599117.79,16,3,11
5,9804092.0,13,1,4
6,27834409.91,16,1,5
4,8875679.0,4,2,4
2,76631870.13,30,1,11
2,67213720.8,33,2,2
7,72764274.82,35,3,6
6,48063066.98,43,1,1
6,58835624.76,39,1,12
8,39884418.28,8,1,11
2,96425578.96,25,3,12
8,78442980.33,29,3,8
1,25900947.07,41,6,10
3,18119210.54,23,6,3
5,47748138.36,38,2,4
5,67488403.14,38,4,7
5,314358.52,3,2,6
3,20721682.1,50,2,6
8,67950069.84,10,4,9
9,28970548.94,22,7,2
10,65885403.63,7,6,9
8,37509428.16,14,2,8
1,39441952.15,45,6,11
4,52241263.33,8,7,7
3,11553669.24,17,1,7
1,98959356.95,47,6,4
7,68613281.15,22,4,7
4,80700702.62,48,4,5
4,83682093.97,10,6,5
8,95613638.96,30,2,9
6,12163969.68,38,5,4
4,895301.37,39,4,2
6,24322849.19,20,5,3
6,48877035.84,31,5,4
9,13804304.8,27,2,8
7,51286360.82,32,4,1
4,92490606.83,21,3,11
4,29411797.48,5,1,12
2,19789964.91,18,7,8
7,19688124.47,21,4,1
5,93693336.48,30,4,2
2,41489755.31,15,2,2
9,93376165.04,10,4,8
7,77104218.38,13,1,11
10,4401815.0,33,7,6
1,22673184.86,27,5,5
1,62225576.62,48,5,7
10,570397.0,36,5,4
2,88727640.29,27,7,2
8,30425185.36,26,2,3
1,71378439.0,41,3,7
2,84919438.25,30,2,12
4,4872292.79,40,2,6
2,32972257.71,20,7,6
2,33468206.11,33,1,7
5,40792876.38,8,3,4
10,28767436.96,7,4,1
4,74057645.07,16,4,1
2,44337765.93,4,5,4
1,6754664.81,17,6,8
1,34264864.56,11,4,9
7,21585440.76,39,5,12
5,26280271.02,23,3,6
7,18308687.25,1,4,10
6,47172642.5,25,7,6
4,44833624.86,25,7,7
6,80196705.63,41,2,1
7,26271053.78,36,2,10
7,35655521.91,6,3,9
2,99301027.97,33,6,1
8,79912929.34,42,7,4
3,70420044.75,4,1,7
8,55441307.38,23,7,5
8,63442663.52,33,3,10
4,34376188.88,4,4,3
8,52043978.78,15,5,11
8,51296483.22,39,7,3
5,83315734.61,2,7,8
8,54021064.99,4,1,2
10,78932461.43,6,1,4
7,25787558.56,7,6,10
1,41579088.83,32,1,11
2,41763697.99,11,6,3
7,87078778.08,42,2,6
4,91560249.14,40,5,11
6,23544806.82,5,2,5
9,70720194.21,46,3,10
1,70034475.15,3,5,1
8,23373445.22,47,1,7
1,92803907.54,2,5,11
1,60800911.53,16,2,12
4,35329795.51,12,1,9
10,64046056.88,48,4,1
8,392700.87,21,4,7
7,29641153.89,19,7,10
9,27367199.68,30,7,4
7,8139116.0,21,6,2
2,1889256.23,11,6,3
1,3961198.68,29,1,3
4,67127870.02,22,3,7
8,23994296.81,26,7,3
9,70670071.14,24,7,4
5,42955900.48,22,7,6
3,54922120.25,6,6,10
7,4904560.0,45,6,5
6,68165070.13,13,5,12
9,11278499.73,43,5,4
9,75939099.28,36,2,3
6,94705364.36,41,1,6
6,7944229.0,2,2,11
10,25056208.73,4,1,10
6,80851259.96,20,5,7
5,65862091.73,18,5,1
10,20891713.31,3,2,8
8,74849861.49,37,6,2
6,47921976.12,4,2,10
5,69003700.94,48,4,5
1,71150394.46,49,1,10
10,63952906.26,8,5,1
6,13304134.75,36,6,7
4,23992242.06,49,4,2
10,86865261.09,13,1,4
3,56784316.98,37,3,5
9,32956280.94,38,5,12
5,38304953.24,35,1,10
9,448411.21,39,5,10
2,26111802.3,40,6,6
2,83736538.08,5,6,8
3,62865381.09,19,2,10
10,2089040.47,8,4,2
7,30902811.74,6,5,8
7,1494607.05,27,7,12
6,22879884.88,36,1,5
4,83275361.74,23,7,5
4,19396481.31,30,3,10
3,31200046.23,12,2,2
6,31487140.57,47,4,1
7,13470426.39,9,7,4
4,50719861.88,25,6,5
6,20013395.71,41,2,4
3,91724580.82,42,2,8
4,17882212.25,12,6,10
8,917524.77,29,3,8
3,90344885.39,16,3,2
6,56026540.29,39,3,3
1,2682566.75,14,2,8
9,99268763.84,29,2,5
1,70976157.42,39,6,8
4,72214188.62,7,4,8
3,95071624.05,20,6,9
3,83953929.32,11,2,9
4,64209309.89,22,3,12
8,36174398.27,7,6,2
8,68525654.08,16,7,7
6,38188331.82,30,7,3
9,73236356.09,5,3,7
5,23826054.86,30,2,6
9,95252087.58,1,5,10
6,81987494.86,6,7,10
4,90243188.86,19,3,6
9,38330092.89,35,5,3
6,86154825.08,35,3,12
6,90065670.54,27,1,2
8,38526243.8,27,1,10
5,55214058.81,44,4,11
3,2884547.42,47,5,12
8,92719747.45,48,4,1
2,25138191.14,35,1,2
4,53518258.77,18,5,10
1,29483116.62,14,6,11
2,46645815.21,8,4,4
9,98719373.2,27,7,3
2,61206500.32,20,3,9
10,97823265.0,5,6,10
7,90614356.77,25,4,4
2,83515975.85,4,2,11
5,74248475.29,49,2,3
1,89362690.7,9,7,4
7,18013790.91,9,2,2
6,7996149.0,28,2,10
10,74928290.45,49,7,1
4,76556976.21,18,6,7
9,65308029.99,14,1,11
2,45436247.87,3,6,5
5,29821876.08,12,6,9
8,32141148.34,3,2,10
8,79492458.45,34,2,3
9,63852092.01,45,2,3
8,68607861.3,10,7,11
6,65648273.41,15,7,9
5,63398796.17,48,3,3
10,80316107.51,9,6,3
3,66702303.5,18,5,6
4,98494379.86,12,6,6
1,61708968.1,33,6,7
2,14715173.68,13,6,12
2,27430269.47,41,1,1
7,31563409.52,6,3,8
2,88909452.48,40,1,11
10,14664845.1,26,2,8
3,25775045.6,36,2,8
6,43060848.32,7,2,11
3,25596183.41,37,1,4
4,17380756.93,34,1,5
6,37855737.61,36,7,8
5,19984617.59,11,3,11
1,14490841.59,27,3,10
2,51326984.68,26,6,5
9,30164699.17,45,6,4
2,98353606.56,1,2,1
7,37252633.69,32,6,11
2,62692189.25,25,5,5
1,24944623.77,50,2,1
9,75841887.72,8,2,1
8,21864867.45,1,5,11
10,74649470.33,47,7,10
1,40802742.6,43,4,8
4,55275638.67,6,3,2
6,47232189.38,48,3,10
10,21759570.89,20,5,12
2,32004727.27,23,1,10
4,25632506.73,50,2,1
7,66089398.78,50,4,6
6,20186054.78,30,3,12
5,11959138.04,14,5,10
3,58014080.65,38,5,5
1,16114056.02,49,7,8
8,94728216.59,40,4,10
3,41776330.37,20,5,1
5,61763723.85,23,4,12
10,17221996.02,23,7,4
5,43993319.84,16,2,1
7,1907132.0,27,6,10
9,84977020.48,43,6,4
6,8362938.0,49,2,5
10,84221235.17,35,3,2
9,31041403.74,5,2,5
2,6937265.46,49,2,11
4,3233679.0,33,3,8
7,16466092.84,50,7,6
9,19497217.5,20,7,1
5,72673902.23,50,2,12
5,68063837.42,8,5,11
8,8426242.0,29,5,5
10,53930948.76,1,4,7
3,10600661.32,38,4,12
8,93617100.9,36,4,12
8,12067981.54,45,6,11
9,40762059.14,41,7,11
1,53668453.29,30,6,11
1,68129892.26,25,4,8
7,61444819.09,33,2,2
8,30158331.77,13,6,2
7,62058556.98,9,2,9
2,55632244.96,21,6,9
8,52732.48,22,4,8
7,16959971.36,17,3,8
4,28327153.65,7,6,7
6,56962493.75,20,4,10
5,3789975.23,10,2,1
1,18032077.69,45,3,11
1,5602370.0,44,6,9
1,14498043.6,40,5,12
9,69404837.78,12,3,10
1,24705084.71,19,1,8
3,9531340.0,22,5,2
2,8900710.0,46,3,9
7,43230989.6,47,7,5
4,77583606.38,13,7,5
6,36975826.76,27,5,8
7,89643734.48,48,3,11
9,29918333.75,34,3,10
4,31128434.72,43,1,12
5,60471945.12,46,2,6
10,68819761.77,19,4,6
6,33485235.29,29,6,3
4,26665320.59,50,5,11
8,81887990.49,15,4,9
7,80237807.91,5,7,10
10,58596604.35,11,2,2
3,2507725.62,25,4,1
8,50728732.34,11,6,12
4,54708395.4,48,4,6
7,39957834.1,35,4,5
10,10591267.59,18,5,6
3,17660977.31,8,1,4
3,77707040.76,17,5,1
4,77378535.48,38,2,7
5,43064922.1,48,7,3
6,88394511.24,47,3,10
2,76214811.83,32,6,7
6,86891573.4,44,5,12
8,36496188.51,34,3,10
6,61068822.55,25,5,4
10,70810866.47,16,6,8
8,18333754.18,47,4,8
6,98109091.35,5,3,2
7,17467829.08,36,6,8
9,48792018.14,22,2,10
10,42769561.39,4,6,1
6,74168763.8,13,5,2
1,92927524.92,27,4,1
9,79752051.5,25,7,6
3,83075122.49,34,6,10
6,88642459.26,11,7,5
7,68032104.59,37,3,2
10,23297742.14,26,7,6
6,15801803.78,11,2,5
1,57725388.03,18,7,7
5,6164601.99,12,6,12
4,43900300.06,38,6,12
7,80976466.69,20,5,4
9,30519004.24,24,3,9
7,6590089.0,11,4,3
10,34451826.01,24,2,3
5,8285222.0,15,5,3
6,21152687.28,45,5,7
2,90451175.37,44,1,8
2,8414826.0,17,2,4
6,75064306.08,3,7,6
5,24196503.01,40,6,9
3,91054648.5,39,5,11
6,17413083.0,14,4,8
10,51080295.17,49,1,11
3,85744404.11,33,2,2
10,61251270.89,29,4,1
5,98491350.74,46,5,4
7,28412678.98,39,6,3
4,30168716.29,36,7,12
10,4692955.18,49,2,1
7,92402499.36,10,6,4
2,19349604.73,7,3,4
5,41407331.86,31,5,11
7,93372944.65,4,1,11
1,92152249.09,45,5,5
4,41281972.98,19,6,4
10,85422157.67,18,6,3
7,33539039.54,45,4,8
1,98387146.6,24,7,3
1,19560415.49,45,6,2
7,95992574.12,28,2,1
1,54873886.48,40,1,4
1,71373466.49,21,6,9
4,71636757.0,37,7,4
4,41004542.42,9,5,12
4,1666777.9,3,3,6
6,20168863.49,39,4,1
5,48294207.97,40,7,9
6,31563044.48,12,5,12
6,24164775.42,16,3,12
1,84213766.43,44,5,4
8,71428129.51,1,1,9
4,62204053.08,41,3,10
9,54843136.7,18,1,4
5,38952663.88,19,2,11
5,61889962.9,13,2,12
10,80773995.61,49,4,3
3,3142977.0,15,3,7
6,37306739.22,28,4,6
8,8884045.0,33,6,10
6,33064356.79,29,1,6
4,36410743.47,4,4,4
4,555971.34,7,1,6
9,55589930.63,30,2,8
7,84559618.3,27,6,9
4,15079355.54,14,1,2
6,83903741.47,2,4,7
7,13426664.51,45,1,3
9,35237361.08,3,2,5
8,52917890.09,27,7,8
7,59135887.12,41,3,11
4,3153833.0,31,6,3
10,65915094.13,38,6,1
5,8837592.0,22,6,3
10,37351662.06,7,2,3
9,16451790.84,39,6,8
8,40001201.73,26,2,9
1,34877202.77,29,5,5
6,82286785.86,43,3,9
6,61361637.25,8,6,2
4,94996556.03,41,4,12
1,27734462.63,25,4,1
5,57340027.89,17,1,8
6,98056080.14,36,1,3
10,62909731.22,30,4,9
7,94473446.15,29,3,5
8,72999435.65,42,1,6
8,83008084.09,38,7,4
7,687461.23,15,7,8
2,49462603.5,10,6,10
2,2945180.82,33,1,10
8,17713757.75,49,2,6
3,48002502.75,47,7,10
5,51597534.42,7,6,7
9,64744129.39,16,4,2
8,76181522.3,35,2,6
4,1855491.83,20,3,2
3,63698347.82,44,3,4
8,60927991.33,42,2,3
4,94224373.65,19,7,1
5,29903813.37,33,5,8
7,46355007.48,38,1,3
10,40504613.96,23,3,12
2,48242223.78,35,3,2
1,72843597.53,27,5,12
6,69886276.42,50,7,10
2,12901492.31,13,3,12
9,20649191.6,2,6,5
9,80038092.95,45,4,10
5,1137988.88,23,6,9
4,24861672.71,33,1,12
6,81227390.62,17,3,12
4,21263582.25,5,1,12
5,43912680.85,3,7,2
2,23569958.85,29,7,2
5,43988159.11,48,2,7
10,19043564.46,21,6,7
10,4181262.55,38,1,4
9,29979399.12,46,3,4
7,62938415.58,14,2,10
8,50023522.11,10,2,9
9,51962978.34,19,4,1
1,24605539.69,3,2,2
5,83077064.41,32,6,4
2,79786298.38,13,2,7
6,80105896.08,39,1,1
4,42665885.61,35,7,9
2,94011243.06,16,6,5
5,32362023.54,14,6,5
4,91231773.45,48,2,7
10,70329521.75,39,6,7
6,86684481.34,40,5,12
7,95170534.49,36,2,3
1,4743226.0,22,3,8
3,38096955.6,7,5,10
9,68729944.65,46,6,11
10,17414839.95,49,3,6
6,46905830.38,29,6,5
7,28583230.52,45,1,7
8,16372929.77,12,4,12
9,81029382.74,2,1,7
10,41920577.79,41,1,8
4,90887928.72,12,2,7
8,94976834.06,3,4,7
3,51610973.61,6,2,2
5,75110278.12,50,5,8
1,93297460.4,48,2,9
5,62947909.67,30,7,10
10,31101339.05,39,2,2
1,32177283.53,3,7,11
4,51164437.77,2,1,11
8,67500167.56,8,4,10
4,96928427.59,50,5,8
3,88540822.66,21,7,7
2,62286059.81,9,2,2
2,49767082.49,23,1,7
3,77886055.51,40,1,5
5,98125069.2,19,2,5
9,82733851.84,33,4,3
2,94255701.25,14,1,3
9,61852636.47,36,1,1
7,58793470.04,10,2,2
10,82790465.04,42,6,3
2,3116794.79,14,7,7
9,18923377.56,6,7,9
8,26667957.42,1,7,11
4,77590973.3,36,3,8
4,95579608.82,42,3,12
6,63833018.98,28,7,2
7,29435677.69,12,1,2
9,73631203.14,20,6,4
10,62442637.65,2,6,1
6,12681188.24,11,7,12
10,42023514.71,36,7,11
2,10282870.05,13,6,1
4,84834897.81,47,7,11
7,89582495.75,6,3,3
7,74160781.75,15,2,3
5,79391075.74,16,5,12
10,78813313.45,26,7,3
7,51915501.59,14,4,7
7,67201939.3,50,2,6
2,39016112.39,8,4,12
6,60025667.05,38,3,5
4,51693346.92,41,5,6
3,77636852.52,16,7,12
6,6726674.0,36,5,4
1,37589948.09,4,2,10
6,52045305.46,29,7,8
3,84428824.35,23,1,7
10,89014394.91,50,2,12
4,72320133.92,25,4,8
6,7297317.55,19,1,6
1,89106352.55,33,6,9
7,47235187.23,11,7,6
7,82083520.5,6,6,3
10,18217025.98,34,2,11
8,57890502.74,15,5,5
3,33066031.01,43,4,2
1,58084750.59,39,6,1
3,65819961.08,28,4,7
6,35256036.35,24,7,6
8,18134524.86,19,1,9
9,87968622.22,4,1,7
9,65901012.53,27,2,1
2,44235253.51,23,1,11
3,27447609.3,44,2,12
3,70065909.53,19,5,12
5,87980777.41,50,4,5
5,64415246.16,28,2,12
9,67207503.22,6,1,4
6,82720715.09,19,4,3
10,65379060.29,13,7,1
10,90523698.04,48,3,12
10,85753757.55,45,2,4
4,52151214.57,23,1,11
7,29898607.76,3,5,8
5,49451902.13,45,2,10
5,97583053.96,49,6,11
8,23747775.42,27,7,6
2,91696693.54,28,5,6
8,81364722.61,31,1,2
10,23766916.05,5,7,12
7,83823540.28,45,3,9
6,73651192.61,16,3,2
9,870472.04,17,6,6
9,18079704.86,19,6,11
7,73743678.78,48,7,9
2,26950978.8,18,1,4
10,18528920.58,29,3,8
4,97411510.85,30,4,8
5,71478925.17,48,4,8
8,39004848.26,14,4,2
1,19237260.48,19,5,5
2,12450659.13,6,5,12
2,78107280.15,47,7,9
6,31803853.55,44,4,10
5,97172449.33,39,6,11
4,25324307.23,28,5,9
5,72501883.93,48,2,9
3,56406960.23,40,1,5
3,62235705.14,36,4,10
9,77375675.43,42,6,11
10,75095043.3,1,7,5
1,55068548.46,1,1,7
2,21266891.81,23,6,9
10,54157886.93,8,1,11
1,18583649.42,5,5,6
10,361006.4,20,5,3
6,97344969.6,9,4,11
3,81397406.75,8,1,8
8,46973109.93,29,7,3
3,25835866.67,24,1,3
7,10482829.56,26,6,9
7,98275107.76,21,5,9
1,29607007.98,2,7,2
1,36259367.47,45,7,11
8,26636169.25,11,7,1
8,37441237.28,18,6,10
6,83759687.15,4,3,11
3,19999320.37,43,5,10
7,39143408.99,36,6,2
2,45105088.67,10,1,6
4,81915354.77,12,4,12
7,19323740.69,9,1,10
4,67153243.73,42,7,12
8,56179956.25,1,4,5
7,22980370.81,15,4,2
1,67885284.08,4,5,3
8,57747323.47,34,7,8
4,69901749.79,17,6,12
1,20655881.95,8,6,2
10,23962417.1,42,1,10
7,5314960.79,22,1,6
1,77785929.54,9,3,3
9,5553441.0,6,5,10
3,52719740.47,39,3,4
9,94275193.83,15,6,12
7,23658072.76,32,7,10
9,36258053.94,14,5,8
10,31947285.9,7,4,9
8,58566098.47,34,4,11
3,355212.92,33,6,8
2,1499943.08,23,5,6
2,90559003.5,46,3,5
7,17083634.86,47,4,7
3,13335662.83,16,3,12
3,89222059.09,22,7,3
8,19434672.26,25,5,2
1,57505241.02,45,1,5
6,57044703.98,40,7,1
7,41372548.56,47,4,5
3,24973094.19,33,6,4
6,32996763.94,34,6,11
2,80185150.78,44,7,6
6,49079076.89,7,1,8
5,82723624.46,29,7,6
9,60398659.2,42,2,8
1,61634149.6,41,7,9
5,26846255.57,24,7,7
1,28960689.65,18,4,3
3,82758453.46,31,4,10
1,18013611.19,45,2,7
9,53863185.34,48,2,2
5,5289255.2,36,6,1
2,5735894.0,11,7,8
5,77646286.91,40,6,7
1,88568527.75,30,5,8
10,33651860.05,24,2,3
5,53143280.65,37,3,12
5,29846093.7,20,1,12
2,21244161.08,10,1,8
4,68491579.01,14,1,4
5,69721349.15,30,3,1
4,88576351.79,37,7,4
2,47780707.76,21,6,5
5,4885571.35,44,7,11
9,97137355.56,36,5,10
6,82888518.56,26,3,8
5,94034662.12,2,7,6
6,60220856.37,39,5,11
9,66268580.67,21,4,6
1,74821382.12,4,2,9
8,64597454.61,45,7,11
10,19646372.31,1,1,5
5,57482635.12,10,6,12
5,62121363.45,8,3,2
6,8922010.0,37,4,9
6,80973093.42,29,3,2
10,29038675.29,30,1,2
2,3035040.0,13,4,11
2,31631123.79,23,4,10
2,42372128.35,49,3,2
8,15088850.76,24,6,5
3,71572578.27,17,5,7
5,30663877.31,30,1,11
8,20342965.4,20,2,2
8,91860665.05,11,1,3
3,82917260.63,34,2,4
10,11393970.1,48,5,11
5,95142921.0,46,2,7
7,7756953.78,8,7,4
1,49391541.57,44,5,5
6,13199594.03,9,1,5
5,56214949.71,38,7,3
5,9139213.0,17,5,12
10,98708734.7,11,3,2
9,64778304.7,7,2,2
2,61322262.91,18,1,4
3,55606817.34,48,1,3
10,87817097.61,46,4,11
5,44742679.73,45,4,11
3,81287465.06,5,6,11
3,29587826.89,26,5,9
7,98992196.73,50,5,2
4,4938644.0,15,1,1
7,26971550.67,28,7,8
9,79197178.65,9,1,2
1,68162315.37,8,4,10
5,83843313.69,38,2,4
3,5870585.8,5,4,11
8,40993743.12,6,2,8
1,64516508.86,30,1,8
2,43654485.66,32,5,6
6,10692381.7,22,7,1
4,21106789.51,16,3,7
7,78206685.82,1,2,2
8,808166.43,1,5,11
8,59150595.45,39,5,10
7,57721887.34,6,3,11
5,31392579.34,2,5,12
6,7483602.0,46,3,8
7,16350753.01,25,5,7
9,42557108.52,44,3,9
10,79003030.61,19,3,3
3,59074544.28,16,3,2
2,27464022.15,41,4,8
2,66020717.68,50,7,7
8,15048443.45,2,5,8
5,71883455.86,10,7,5
8,67967929.11,15,6,9
10,46906940.08,25,6,1
1,23240112.03,1,7,5
8,12533996.56,48,1,10
10,50536181.46,5,4,8
3,99819190.99,37,5,6
4,31694344.96,31,4,1
3,88968111.64,48,6,8
3,92866100.44,19,4,9
4,27511166.16,32,4,1
4,28559764.44,31,2,1
9,61857691.77,49,4,1
7,8757241.0,14,4,10
4,81225954.78,19,4,1
8,96794813.0,34,6,9
7,113017.89,9,6,12
1,7113281.0,4,5,5
6,37676102.89,35,7,12
1,37732966.42,30,5,4
3,79022165.02,15,7,2
7,61175225.26,9,7,10
10,97881907.76,44,1,9
3,52281357.68,4,1,12
2,20707224.39,32,6,4
7,1638464.46,17,7,5
8,33075235.63,26,7,8
4,76031011.19,43,5,8
8,27439377.61,37,7,8
5,52395027.43,40,6,3
8,4157084.84,41,4,12
8,27922549.08,11,1,5
8,22778097.4,50,7,3
